stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6862,0.0150
0.0,conformal_risk_filter,0.7129,0.0147
0.0,proposed_branch_mechanism,0.7660,0.0143
0.0,oracle_branch_upper_bound,0.8181,0.0124
0.2,scalar_uncertainty_planner,0.6279,0.0133
0.2,conformal_risk_filter,0.6707,0.0138
0.2,proposed_branch_mechanism,0.7355,0.0157
0.2,oracle_branch_upper_bound,0.7971,0.0123
0.4,scalar_uncertainty_planner,0.5736,0.0128
0.4,conformal_risk_filter,0.6286,0.0150
0.4,proposed_branch_mechanism,0.7071,0.0172
0.4,oracle_branch_upper_bound,0.7767,0.0139
0.6,scalar_uncertainty_planner,0.5183,0.0125
0.6,conformal_risk_filter,0.5852,0.0136
0.6,proposed_branch_mechanism,0.6800,0.0151
0.6,oracle_branch_upper_bound,0.7562,0.0122
0.8,scalar_uncertainty_planner,0.4688,0.0125
0.8,conformal_risk_filter,0.5452,0.0147
0.8,proposed_branch_mechanism,0.6471,0.0137
0.8,oracle_branch_upper_bound,0.7326,0.0135
1.0,scalar_uncertainty_planner,0.4181,0.0122
1.0,conformal_risk_filter,0.5010,0.0130
1.0,proposed_branch_mechanism,0.6193,0.0141
1.0,oracle_branch_upper_bound,0.7140,0.0154
