stress_axis,stress_level,method,task_success,ci95_success,semantic_violation,functional_blockage,slip_rate,damage_rate,oracle_regret
surface_normal_noise,0.0,probabilistic_normals_pong,0.06250,0.02139,0.75536,0.56429,0.03750,0.39286,0.22171
surface_normal_noise,0.0,taskgrasp_semantic_ranker,0.24643,0.03327,0.17500,0.30179,0.24107,0.34643,0.06922
surface_normal_noise,0.0,language_conditioned_grasp_policy,0.25893,0.06498,0.14643,0.33571,0.27143,0.32857,0.07002
surface_normal_noise,0.0,risk_aware_force_closure,0.10179,0.02748,0.71786,0.49464,0.04821,0.21429,0.18489
surface_normal_noise,0.0,semantic_force_closure_revisited,0.29464,0.02872,0.30714,0.31786,0.15714,0.28393,0.05911
surface_normal_noise,0.0,oracle_task_closure,0.37321,0.04325,0.18929,0.21964,0.20536,0.28036,0.00000
surface_normal_noise,0.2,probabilistic_normals_pong,0.05357,0.03283,0.76607,0.56786,0.06250,0.35893,0.22144
surface_normal_noise,0.2,taskgrasp_semantic_ranker,0.24643,0.04464,0.17500,0.30714,0.26964,0.35179,0.06131
surface_normal_noise,0.2,language_conditioned_grasp_policy,0.20893,0.03955,0.16607,0.35179,0.29286,0.36250,0.07172
surface_normal_noise,0.2,risk_aware_force_closure,0.09286,0.02129,0.72321,0.48571,0.06964,0.20179,0.18797
surface_normal_noise,0.2,semantic_force_closure_revisited,0.25179,0.05644,0.26786,0.32500,0.18929,0.29643,0.06137
surface_normal_noise,0.2,oracle_task_closure,0.31607,0.04334,0.17143,0.25536,0.20893,0.30714,0.00000
surface_normal_noise,0.4,probabilistic_normals_pong,0.07500,0.02619,0.73571,0.57143,0.09107,0.35000,0.21547
surface_normal_noise,0.4,taskgrasp_semantic_ranker,0.24107,0.03882,0.17857,0.34286,0.29464,0.34821,0.07095
surface_normal_noise,0.4,language_conditioned_grasp_policy,0.23571,0.05331,0.16429,0.35000,0.32143,0.34286,0.07330
surface_normal_noise,0.4,risk_aware_force_closure,0.09821,0.01552,0.72143,0.49821,0.08929,0.20893,0.18342
surface_normal_noise,0.4,semantic_force_closure_revisited,0.22500,0.03626,0.28036,0.32857,0.21786,0.27143,0.06311
surface_normal_noise,0.4,oracle_task_closure,0.33393,0.04166,0.17857,0.22321,0.25000,0.28750,0.00000
surface_normal_noise,0.6,probabilistic_normals_pong,0.08393,0.03104,0.68036,0.51964,0.11786,0.34821,0.20715
surface_normal_noise,0.6,taskgrasp_semantic_ranker,0.21607,0.04334,0.18393,0.30714,0.26964,0.33929,0.06610
surface_normal_noise,0.6,language_conditioned_grasp_policy,0.23750,0.05783,0.18571,0.33750,0.33929,0.34286,0.07096
surface_normal_noise,0.6,risk_aware_force_closure,0.10714,0.02822,0.65714,0.48214,0.12679,0.22321,0.17911
surface_normal_noise,0.6,semantic_force_closure_revisited,0.25714,0.04748,0.28393,0.31607,0.23929,0.26786,0.06957
surface_normal_noise,0.6,oracle_task_closure,0.35536,0.04306,0.16071,0.22321,0.27143,0.30357,0.00000
surface_normal_noise,0.8,probabilistic_normals_pong,0.09286,0.01400,0.68571,0.53571,0.16071,0.33750,0.22082
surface_normal_noise,0.8,taskgrasp_semantic_ranker,0.20536,0.02666,0.14107,0.29643,0.32321,0.35893,0.06997
surface_normal_noise,0.8,language_conditioned_grasp_policy,0.21429,0.04291,0.15714,0.33571,0.34821,0.36071,0.07182
surface_normal_noise,0.8,risk_aware_force_closure,0.10357,0.02051,0.61250,0.47679,0.16786,0.23571,0.17853
surface_normal_noise,0.8,semantic_force_closure_revisited,0.23393,0.04743,0.28393,0.33929,0.23750,0.28571,0.07406
surface_normal_noise,0.8,oracle_task_closure,0.34107,0.02711,0.17679,0.23036,0.26786,0.31071,0.00000
surface_normal_noise,1.0,probabilistic_normals_pong,0.07857,0.02051,0.63750,0.51429,0.17500,0.33929,0.21205
surface_normal_noise,1.0,taskgrasp_semantic_ranker,0.21250,0.03024,0.16786,0.31071,0.36607,0.33929,0.06748
surface_normal_noise,1.0,language_conditioned_grasp_policy,0.21250,0.04752,0.17143,0.33393,0.39464,0.32679,0.07469
surface_normal_noise,1.0,risk_aware_force_closure,0.09107,0.01385,0.61964,0.44643,0.19286,0.22321,0.17758
surface_normal_noise,1.0,semantic_force_closure_revisited,0.20714,0.03699,0.27500,0.29821,0.27143,0.25893,0.07983
