split,reference,metric,mean_diff,ci95_diff,seeds
ambiguous_language_shift,affordance_only_vlm,task_success,0.07143,0.03960,7
ambiguous_language_shift,affordance_only_vlm,mechanical_closure_margin,0.23698,0.02367,7
ambiguous_language_shift,affordance_only_vlm,semantic_violation,0.10289,0.02774,7
ambiguous_language_shift,affordance_only_vlm,functional_blockage,-0.04082,0.03906,7
ambiguous_language_shift,affordance_only_vlm,slip_rate,-0.16242,0.04588,7
ambiguous_language_shift,affordance_only_vlm,damage_rate,-0.03316,0.03984,7
ambiguous_language_shift,affordance_only_vlm,oracle_regret,-0.06093,0.00703,7
ambiguous_language_shift,geometry_force_closure,task_success,0.22959,0.03508,7
ambiguous_language_shift,geometry_force_closure,mechanical_closure_margin,-0.25893,0.00620,7
ambiguous_language_shift,geometry_force_closure,semantic_violation,-0.50765,0.03842,7
ambiguous_language_shift,geometry_force_closure,functional_blockage,-0.30102,0.04452,7
ambiguous_language_shift,geometry_force_closure,slip_rate,0.14711,0.02244,7
ambiguous_language_shift,geometry_force_closure,damage_rate,-0.05102,0.02519,7
ambiguous_language_shift,geometry_force_closure,oracle_regret,-0.19565,0.00578,7
ambiguous_language_shift,language_conditioned_grasp_policy,task_success,0.02976,0.04810,7
ambiguous_language_shift,language_conditioned_grasp_policy,mechanical_closure_margin,0.09585,0.01370,7
ambiguous_language_shift,language_conditioned_grasp_policy,semantic_violation,0.08504,0.01848,7
ambiguous_language_shift,language_conditioned_grasp_policy,functional_blockage,-0.06037,0.03745,7
ambiguous_language_shift,language_conditioned_grasp_policy,slip_rate,-0.06293,0.04080,7
ambiguous_language_shift,language_conditioned_grasp_policy,damage_rate,-0.04677,0.05574,7
ambiguous_language_shift,language_conditioned_grasp_policy,oracle_regret,-0.02319,0.00429,7
ambiguous_language_shift,oracle_task_closure,task_success,-0.07653,0.02711,7
ambiguous_language_shift,oracle_task_closure,mechanical_closure_margin,0.01879,0.01184,7
ambiguous_language_shift,oracle_task_closure,semantic_violation,0.06633,0.04316,7
ambiguous_language_shift,oracle_task_closure,functional_blockage,0.05782,0.03875,7
ambiguous_language_shift,oracle_task_closure,slip_rate,0.00085,0.02687,7
ambiguous_language_shift,oracle_task_closure,damage_rate,-0.00765,0.03534,7
ambiguous_language_shift,oracle_task_closure,oracle_regret,0.04271,0.00253,7
ambiguous_language_shift,probabilistic_normals_pong,task_success,0.21343,0.03343,7
ambiguous_language_shift,probabilistic_normals_pong,mechanical_closure_margin,-0.24512,0.00654,7
ambiguous_language_shift,probabilistic_normals_pong,semantic_violation,-0.46173,0.03508,7
ambiguous_language_shift,probabilistic_normals_pong,functional_blockage,-0.26786,0.03672,7
ambiguous_language_shift,probabilistic_normals_pong,slip_rate,0.14456,0.02504,7
ambiguous_language_shift,probabilistic_normals_pong,damage_rate,-0.08078,0.02173,7
ambiguous_language_shift,probabilistic_normals_pong,oracle_regret,-0.17216,0.00765,7
ambiguous_language_shift,risk_aware_force_closure,task_success,0.15306,0.03488,7
ambiguous_language_shift,risk_aware_force_closure,mechanical_closure_margin,-0.20281,0.01048,7
ambiguous_language_shift,risk_aware_force_closure,semantic_violation,-0.40476,0.02037,7
ambiguous_language_shift,risk_aware_force_closure,functional_blockage,-0.17857,0.03681,7
ambiguous_language_shift,risk_aware_force_closure,slip_rate,0.12500,0.02021,7
ambiguous_language_shift,risk_aware_force_closure,damage_rate,0.06123,0.02384,7
ambiguous_language_shift,risk_aware_force_closure,oracle_regret,-0.12301,0.00358,7
ambiguous_language_shift,taskgrasp_semantic_ranker,task_success,0.03997,0.04407,7
ambiguous_language_shift,taskgrasp_semantic_ranker,mechanical_closure_margin,0.12301,0.01553,7
ambiguous_language_shift,taskgrasp_semantic_ranker,semantic_violation,0.08078,0.03599,7
ambiguous_language_shift,taskgrasp_semantic_ranker,functional_blockage,-0.02636,0.04040,7
ambiguous_language_shift,taskgrasp_semantic_ranker,slip_rate,-0.07993,0.04072,7
ambiguous_language_shift,taskgrasp_semantic_ranker,damage_rate,-0.04932,0.04734,7
ambiguous_language_shift,taskgrasp_semantic_ranker,oracle_regret,-0.01800,0.00172,7
