split,method,metric,mean,ci95,seeds,rows_per_seed
ambiguous_language_shift,affordance_only_vlm,task_success,0.22874,0.02681,7,168
ambiguous_language_shift,affordance_only_vlm,mechanical_closure_margin,0.46006,0.01806,7,168
ambiguous_language_shift,affordance_only_vlm,semantic_violation,0.15731,0.02582,7,168
ambiguous_language_shift,affordance_only_vlm,functional_blockage,0.31123,0.03422,7,168
ambiguous_language_shift,affordance_only_vlm,slip_rate,0.32568,0.03696,7,168
ambiguous_language_shift,affordance_only_vlm,damage_rate,0.29677,0.03204,7,168
ambiguous_language_shift,affordance_only_vlm,semantic_calibration_error,0.11203,0.00493,7,168
ambiguous_language_shift,affordance_only_vlm,oracle_regret,0.10364,0.00799,7,168
ambiguous_language_shift,geometry_force_closure,task_success,0.07058,0.01697,7,168
ambiguous_language_shift,geometry_force_closure,mechanical_closure_margin,0.95596,0.00317,7,168
ambiguous_language_shift,geometry_force_closure,semantic_violation,0.76786,0.02115,7,168
ambiguous_language_shift,geometry_force_closure,functional_blockage,0.57143,0.02234,7,168
ambiguous_language_shift,geometry_force_closure,slip_rate,0.01616,0.00752,7,168
ambiguous_language_shift,geometry_force_closure,damage_rate,0.31463,0.02091,7,168
ambiguous_language_shift,geometry_force_closure,semantic_calibration_error,0.62772,0.00846,7,168
ambiguous_language_shift,geometry_force_closure,oracle_regret,0.23835,0.00519,7,168
ambiguous_language_shift,language_conditioned_grasp_policy,task_success,0.27041,0.03424,7,168
ambiguous_language_shift,language_conditioned_grasp_policy,mechanical_closure_margin,0.60118,0.00826,7,168
ambiguous_language_shift,language_conditioned_grasp_policy,semantic_violation,0.17517,0.01525,7,168
ambiguous_language_shift,language_conditioned_grasp_policy,functional_blockage,0.33078,0.02113,7,168
ambiguous_language_shift,language_conditioned_grasp_policy,slip_rate,0.22619,0.02777,7,168
ambiguous_language_shift,language_conditioned_grasp_policy,damage_rate,0.31037,0.04202,7,168
ambiguous_language_shift,language_conditioned_grasp_policy,semantic_calibration_error,0.12871,0.00460,7,168
