split,method,seed,rows,task_success,mechanical_closure_margin,semantic_violation,functional_blockage,slip_rate,damage_rate,semantic_calibration_error,oracle_regret
ambiguous_language_shift,affordance_only_vlm,0,168,0.25595,0.45579,0.11905,0.21429,0.38690,0.27381,0.10056,0.08448
ambiguous_language_shift,affordance_only_vlm,1,168,0.22024,0.46473,0.17857,0.29762,0.27976,0.24405,0.12060,0.10766
ambiguous_language_shift,affordance_only_vlm,2,168,0.23810,0.47149,0.16071,0.34524,0.25000,0.26786,0.11339,0.10017
ambiguous_language_shift,affordance_only_vlm,3,168,0.18452,0.44258,0.16071,0.35119,0.38095,0.34524,0.10925,0.11424
ambiguous_language_shift,affordance_only_vlm,4,168,0.27381,0.50503,0.13095,0.32143,0.32738,0.26786,0.11030,0.09583
ambiguous_language_shift,affordance_only_vlm,5,168,0.25000,0.45251,0.22024,0.32738,0.31548,0.32738,0.11890,0.11025
ambiguous_language_shift,affordance_only_vlm,6,168,0.17857,0.42827,0.13095,0.32143,0.33929,0.35119,0.11124,0.11287
ambiguous_language_shift,geometry_force_closure,0,168,0.08929,0.95839,0.72619,0.60119,0.00595,0.27976,0.61143,0.23725
ambiguous_language_shift,geometry_force_closure,1,168,0.09524,0.95427,0.80357,0.55952,0.02381,0.29167,0.64331,0.24664
ambiguous_language_shift,geometry_force_closure,2,168,0.05357,0.96016,0.77976,0.55357,0.01786,0.31548,0.63333,0.23731
ambiguous_language_shift,geometry_force_closure,3,168,0.07738,0.95799,0.77976,0.56548,0.02976,0.30952,0.62878,0.23921
ambiguous_language_shift,geometry_force_closure,4,168,0.06548,0.94989,0.75595,0.55357,0.00000,0.36905,0.61338,0.24288
ambiguous_language_shift,geometry_force_closure,5,168,0.08333,0.96012,0.73810,0.54167,0.01786,0.32143,0.63119,0.22436
ambiguous_language_shift,geometry_force_closure,6,168,0.02976,0.95091,0.79167,0.62500,0.01786,0.31548,0.63261,0.24083
ambiguous_language_shift,language_conditioned_grasp_policy,0,168,0.31548,0.59002,0.18452,0.33929,0.20238,0.20238,0.13202,0.06001
ambiguous_language_shift,language_conditioned_grasp_policy,1,168,0.26190,0.60316,0.16071,0.34524,0.22619,0.38690,0.12588,0.07718
ambiguous_language_shift,language_conditioned_grasp_policy,2,168,0.29167,0.59795,0.16071,0.28571,0.20833,0.28571,0.11758,0.06814
ambiguous_language_shift,language_conditioned_grasp_policy,3,168,0.18452,0.60834,0.20833,0.35714,0.23810,0.31548,0.13425,0.06182
ambiguous_language_shift,language_conditioned_grasp_policy,4,168,0.32143,0.60868,0.14881,0.30357,0.23214,0.31548,0.13010,0.06236
ambiguous_language_shift,language_conditioned_grasp_policy,5,168,0.26190,0.61583,0.19048,0.36310,0.17857,0.32738,0.13553,0.06178
ambiguous_language_shift,language_conditioned_grasp_policy,6,168,0.25595,0.58428,0.17262,0.32143,0.29762,0.33929,0.12560,0.06998
ambiguous_language_shift,oracle_task_closure,0,168,0.39881,0.67923,0.19643,0.19048,0.13690,0.33929,0.31069,0.00000
ambiguous_language_shift,oracle_task_closure,1,168,0.32738,0.64901,0.20238,0.17857,0.16667,0.29762,0.31935,0.00000
ambiguous_language_shift,oracle_task_closure,2,168,0.42857,0.69655,0.23810,0.21429,0.12500,0.19643,0.30641,0.00000
ambiguous_language_shift,oracle_task_closure,3,168,0.36310,0.69134,0.25595,0.30357,0.18452,0.23214,0.30689,0.00000
ambiguous_language_shift,oracle_task_closure,4,168,0.38095,0.67693,0.16071,0.22024,0.22619,0.24405,0.32354,0.00000
ambiguous_language_shift,oracle_task_closure,5,168,0.38095,0.65782,0.13095,0.18452,0.17262,0.31548,0.31894,0.00000
ambiguous_language_shift,oracle_task_closure,6,168,0.35714,0.69683,0.17262,0.19643,0.12500,0.27381,0.29601,0.00000
ambiguous_language_shift,probabilistic_normals_pong,0,168,0.06548,0.93952,0.70238,0.54167,0.01786,0.35714,0.44065,0.22498
ambiguous_language_shift,probabilistic_normals_pong,1,168,0.07143,0.94564,0.71429,0.56548,0.02381,0.35714,0.47868,0.22764
ambiguous_language_shift,probabilistic_normals_pong,2,168,0.09524,0.94675,0.70833,0.51190,0.01190,0.34524,0.43945,0.21875
ambiguous_language_shift,probabilistic_normals_pong,3,168,0.09524,0.94499,0.73214,0.51190,0.05357,0.32143,0.44568,0.20686
ambiguous_language_shift,probabilistic_normals_pong,4,168,0.10119,0.93443,0.76786,0.55357,0.01190,0.35119,0.44440,0.21505
ambiguous_language_shift,probabilistic_normals_pong,5,168,0.05952,0.94589,0.72024,0.56548,0.00000,0.38095,0.44172,0.20470
ambiguous_language_shift,probabilistic_normals_pong,6,168,0.11905,0.93784,0.70833,0.51786,0.01190,0.29762,0.44002,0.20613
ambiguous_language_shift,risk_aware_force_closure,0,168,0.17262,0.88961,0.66667,0.47024,0.02381,0.17262,0.36409,0.16382
ambiguous_language_shift,risk_aware_force_closure,1,168,0.14881,0.91520,0.65476,0.44643,0.04762,0.20833,0.35662,0.16524
ambiguous_language_shift,risk_aware_force_closure,2,168,0.16667,0.90192,0.65476,0.44643,0.02381,0.19048,0.35531,0.17046
ambiguous_language_shift,risk_aware_force_closure,3,168,0.11310,0.90585,0.69048,0.49405,0.01786,0.17857,0.36758,0.16262
ambiguous_language_shift,risk_aware_force_closure,4,168,0.13095,0.90098,0.61905,0.45833,0.04762,0.23214,0.36955,0.17288
ambiguous_language_shift,risk_aware_force_closure,5,168,0.16667,0.88999,0.69048,0.42262,0.06548,0.20833,0.35650,0.16181
ambiguous_language_shift,risk_aware_force_closure,6,168,0.13095,0.89537,0.67857,0.40476,0.04167,0.22619,0.34683,0.16317
ambiguous_language_shift,semantic_force_closure_revisited,0,168,0.28571,0.70268,0.27976,0.26786,0.14881,0.29762,0.18133,0.03653
ambiguous_language_shift,semantic_force_closure_revisited,1,168,0.29167,0.69331,0.27976,0.19643,0.22024,0.23810,0.16967,0.04639
ambiguous_language_shift,semantic_force_closure_revisited,2,168,0.37500,0.70201,0.20833,0.29167,0.12500,0.26786,0.15937,0.04283
ambiguous_language_shift,semantic_force_closure_revisited,3,168,0.33333,0.69910,0.29762,0.27976,0.16667,0.23214,0.14578,0.04274
ambiguous_language_shift,semantic_force_closure_revisited,4,168,0.29762,0.68104,0.22024,0.28571,0.16071,0.27976,0.18012,0.04466
ambiguous_language_shift,semantic_force_closure_revisited,5,168,0.26786,0.69343,0.29762,0.32738,0.18452,0.26786,0.17164,0.04559
ambiguous_language_shift,semantic_force_closure_revisited,6,168,0.25000,0.70767,0.23810,0.24405,0.13690,0.26190,0.16694,0.04022
ambiguous_language_shift,taskgrasp_semantic_ranker,0,168,0.25595,0.54501,0.13095,0.28571,0.28571,0.23214,0.13741,0.05311
ambiguous_language_shift,taskgrasp_semantic_ranker,1,168,0.29167,0.58046,0.20238,0.27381,0.20238,0.32143,0.13646,0.06290
ambiguous_language_shift,taskgrasp_semantic_ranker,2,168,0.26190,0.58696,0.17262,0.32143,0.19643,0.33929,0.13038,0.06286
ambiguous_language_shift,taskgrasp_semantic_ranker,3,168,0.20238,0.57237,0.20238,0.35714,0.25595,0.33929,0.12644,0.06186
ambiguous_language_shift,taskgrasp_semantic_ranker,4,168,0.27381,0.59156,0.17857,0.25595,0.22619,0.28571,0.13326,0.05988
ambiguous_language_shift,taskgrasp_semantic_ranker,5,168,0.25595,0.56842,0.16071,0.26786,0.25000,0.38095,0.14370,0.06243
ambiguous_language_shift,taskgrasp_semantic_ranker,6,168,0.27976,0.57339,0.20833,0.31548,0.28571,0.29167,0.13944,0.06193
combined_hard_shift,affordance_only_vlm,0,168,0.19048,0.47969,0.14881,0.29167,0.38690,0.30357,0.11444,0.09187
combined_hard_shift,affordance_only_vlm,1,168,0.23214,0.44204,0.12500,0.29762,0.39881,0.30357,0.09974,0.09240
combined_hard_shift,affordance_only_vlm,2,168,0.17262,0.48058,0.17262,0.28571,0.32143,0.32143,0.11104,0.09118
combined_hard_shift,affordance_only_vlm,3,168,0.13095,0.44830,0.14881,0.29167,0.36310,0.30357,0.12294,0.10911
combined_hard_shift,affordance_only_vlm,4,168,0.21429,0.47419,0.16667,0.30357,0.36905,0.38690,0.10457,0.10578
combined_hard_shift,affordance_only_vlm,5,168,0.14881,0.45321,0.19048,0.30952,0.39286,0.26786,0.11844,0.10830
combined_hard_shift,affordance_only_vlm,6,168,0.22619,0.44874,0.12500,0.29762,0.36310,0.29167,0.10512,0.09551
combined_hard_shift,geometry_force_closure,0,168,0.05952,0.90297,0.79167,0.54762,0.08333,0.27976,0.59187,0.23824
combined_hard_shift,geometry_force_closure,1,168,0.03571,0.91998,0.72024,0.54762,0.07738,0.45238,0.58793,0.24542
combined_hard_shift,geometry_force_closure,2,168,0.04762,0.92382,0.75000,0.61310,0.08929,0.35119,0.59997,0.23171
combined_hard_shift,geometry_force_closure,3,168,0.04167,0.91708,0.73810,0.60714,0.05952,0.34524,0.58299,0.24005
combined_hard_shift,geometry_force_closure,4,168,0.09524,0.90228,0.71429,0.56548,0.08333,0.33929,0.56324,0.23016
combined_hard_shift,geometry_force_closure,5,168,0.05357,0.91338,0.80357,0.54762,0.08333,0.29167,0.63764,0.25386
combined_hard_shift,geometry_force_closure,6,168,0.05357,0.90890,0.78571,0.58929,0.05952,0.33333,0.61902,0.26147
combined_hard_shift,language_conditioned_grasp_policy,0,168,0.23214,0.56534,0.17262,0.33929,0.34524,0.30952,0.12748,0.06779
combined_hard_shift,language_conditioned_grasp_policy,1,168,0.19643,0.55260,0.17262,0.31548,0.35714,0.27381,0.13543,0.06773
combined_hard_shift,language_conditioned_grasp_policy,2,168,0.20238,0.58962,0.20833,0.31548,0.27381,0.31548,0.12450,0.07172
combined_hard_shift,language_conditioned_grasp_policy,3,168,0.24405,0.57364,0.20833,0.31548,0.34524,0.39286,0.14519,0.07730
combined_hard_shift,language_conditioned_grasp_policy,4,168,0.31548,0.60044,0.17262,0.34524,0.30952,0.30952,0.13422,0.07292
combined_hard_shift,language_conditioned_grasp_policy,5,168,0.22619,0.59206,0.20833,0.34524,0.23214,0.33929,0.14462,0.07022
combined_hard_shift,language_conditioned_grasp_policy,6,168,0.26786,0.58091,0.16071,0.30952,0.27381,0.33929,0.13307,0.06482
combined_hard_shift,oracle_task_closure,0,168,0.36905,0.67146,0.16667,0.22024,0.26786,0.33333,0.34038,0.00000
combined_hard_shift,oracle_task_closure,1,168,0.30952,0.65842,0.22024,0.24405,0.22619,0.30952,0.34076,0.00000
combined_hard_shift,oracle_task_closure,2,168,0.35714,0.64825,0.17262,0.16667,0.22619,0.31548,0.34830,0.00000
combined_hard_shift,oracle_task_closure,3,168,0.41071,0.67654,0.17262,0.26786,0.23214,0.30357,0.32323,0.00000
combined_hard_shift,oracle_task_closure,4,168,0.40476,0.68678,0.20833,0.20238,0.26190,0.35119,0.33252,0.00000
combined_hard_shift,oracle_task_closure,5,168,0.28571,0.64059,0.13690,0.20238,0.27381,0.23810,0.33189,0.00000
combined_hard_shift,oracle_task_closure,6,168,0.35119,0.67185,0.19048,0.24405,0.26190,0.27381,0.34216,0.00000
combined_hard_shift,probabilistic_normals_pong,0,168,0.07738,0.89624,0.68452,0.54167,0.10119,0.39881,0.40311,0.21311
combined_hard_shift,probabilistic_normals_pong,1,168,0.07143,0.90788,0.66071,0.50000,0.05952,0.37500,0.38000,0.21014
combined_hard_shift,probabilistic_normals_pong,2,168,0.09524,0.90553,0.72619,0.48810,0.07738,0.32738,0.42325,0.21603
combined_hard_shift,probabilistic_normals_pong,3,168,0.05357,0.89946,0.69643,0.55952,0.07738,0.39881,0.39725,0.22134
combined_hard_shift,probabilistic_normals_pong,4,168,0.06548,0.89399,0.67262,0.55357,0.07738,0.33333,0.39757,0.21228
combined_hard_shift,probabilistic_normals_pong,5,168,0.08333,0.89111,0.70833,0.54762,0.10714,0.34524,0.40923,0.22181
combined_hard_shift,probabilistic_normals_pong,6,168,0.07143,0.90109,0.79762,0.60119,0.04167,0.31548,0.43222,0.24947
combined_hard_shift,risk_aware_force_closure,0,168,0.06548,0.84266,0.70238,0.50595,0.16071,0.21429,0.37051,0.20189
combined_hard_shift,risk_aware_force_closure,1,168,0.09524,0.84126,0.66667,0.54762,0.11310,0.20833,0.31255,0.17658
combined_hard_shift,risk_aware_force_closure,2,168,0.10119,0.84928,0.64286,0.43452,0.06548,0.20238,0.35172,0.17611
combined_hard_shift,risk_aware_force_closure,3,168,0.11310,0.85055,0.69048,0.48214,0.10119,0.23214,0.32636,0.18519
combined_hard_shift,risk_aware_force_closure,4,168,0.11905,0.84043,0.62500,0.46429,0.10714,0.26786,0.31503,0.18276
combined_hard_shift,risk_aware_force_closure,5,168,0.10119,0.85149,0.66667,0.48214,0.08333,0.25000,0.35043,0.18171
combined_hard_shift,risk_aware_force_closure,6,168,0.12500,0.86346,0.69643,0.47619,0.07738,0.17857,0.36878,0.20828
combined_hard_shift,semantic_force_closure_revisited,0,168,0.23214,0.65174,0.33929,0.30952,0.25595,0.33929,0.20219,0.07368
combined_hard_shift,semantic_force_closure_revisited,1,168,0.22024,0.65996,0.30357,0.29167,0.20833,0.29167,0.17448,0.06746
combined_hard_shift,semantic_force_closure_revisited,2,168,0.22619,0.67174,0.28571,0.31548,0.17262,0.29167,0.19208,0.07179
combined_hard_shift,semantic_force_closure_revisited,3,168,0.25595,0.66895,0.33333,0.31548,0.27381,0.31548,0.20682,0.07358
combined_hard_shift,semantic_force_closure_revisited,4,168,0.25000,0.65827,0.24405,0.29762,0.27381,0.25000,0.20048,0.07129
combined_hard_shift,semantic_force_closure_revisited,5,168,0.30357,0.65887,0.28571,0.32143,0.21429,0.26786,0.18726,0.06347
combined_hard_shift,semantic_force_closure_revisited,6,168,0.30357,0.66984,0.20833,0.29167,0.18452,0.30357,0.20022,0.06366
combined_hard_shift,taskgrasp_semantic_ranker,0,168,0.23810,0.54952,0.14286,0.30357,0.29762,0.30357,0.13283,0.06242
combined_hard_shift,taskgrasp_semantic_ranker,1,168,0.21429,0.53361,0.18452,0.28571,0.34524,0.28571,0.14215,0.06893
combined_hard_shift,taskgrasp_semantic_ranker,2,168,0.23810,0.57145,0.18452,0.28571,0.27381,0.32143,0.14641,0.07094
combined_hard_shift,taskgrasp_semantic_ranker,3,168,0.21429,0.56716,0.21429,0.32143,0.30952,0.34524,0.15549,0.07342
combined_hard_shift,taskgrasp_semantic_ranker,4,168,0.23214,0.58719,0.19643,0.29762,0.33929,0.31548,0.13761,0.07092
combined_hard_shift,taskgrasp_semantic_ranker,5,168,0.26190,0.58153,0.24405,0.36310,0.27381,0.33333,0.14813,0.06924
combined_hard_shift,taskgrasp_semantic_ranker,6,168,0.26190,0.55650,0.14286,0.29762,0.32738,0.33333,0.13977,0.06393
novel_category_same_semantics,affordance_only_vlm,0,168,0.29762,0.42988,0.07738,0.26786,0.31548,0.26786,0.05546,0.07255
novel_category_same_semantics,affordance_only_vlm,1,168,0.29762,0.41350,0.07738,0.26786,0.36905,0.24405,0.06078,0.08112
novel_category_same_semantics,affordance_only_vlm,2,168,0.33333,0.43102,0.08929,0.20833,0.30357,0.22619,0.05910,0.06632
novel_category_same_semantics,affordance_only_vlm,3,168,0.29762,0.43838,0.08333,0.33929,0.26190,0.27381,0.05102,0.08507
novel_category_same_semantics,affordance_only_vlm,4,168,0.29167,0.40676,0.08929,0.25000,0.41071,0.23214,0.05354,0.07241
novel_category_same_semantics,affordance_only_vlm,5,168,0.35119,0.45851,0.05952,0.25595,0.29167,0.27976,0.05844,0.05883
novel_category_same_semantics,affordance_only_vlm,6,168,0.28571,0.43287,0.07738,0.24405,0.30952,0.25595,0.05373,0.07990
novel_category_same_semantics,geometry_force_closure,0,168,0.06548,0.95631,0.75000,0.47619,0.01190,0.32738,0.58925,0.21476
novel_category_same_semantics,geometry_force_closure,1,168,0.05357,0.94915,0.77976,0.60119,0.01786,0.29762,0.59927,0.23605
novel_category_same_semantics,geometry_force_closure,2,168,0.07143,0.95366,0.73214,0.61905,0.00595,0.36310,0.62872,0.23541
novel_category_same_semantics,geometry_force_closure,3,168,0.08333,0.95067,0.72619,0.60119,0.00595,0.35714,0.61074,0.23437
novel_category_same_semantics,geometry_force_closure,4,168,0.11905,0.95162,0.73214,0.59524,0.01786,0.39881,0.59129,0.23238
novel_category_same_semantics,geometry_force_closure,5,168,0.10119,0.95768,0.73214,0.56548,0.01190,0.29167,0.58712,0.21864
