split,method,seed,rows,task_success,mechanical_closure_margin,semantic_violation,functional_blockage,slip_rate,damage_rate,semantic_calibration_error,oracle_regret
novel_category_same_semantics,geometry_force_closure,6,168,0.08929,0.95520,0.73810,0.61905,0.01786,0.31548,0.58851,0.23417
novel_category_same_semantics,language_conditioned_grasp_policy,0,168,0.32738,0.58148,0.05952,0.30357,0.19643,0.28571,0.11338,0.04079
novel_category_same_semantics,language_conditioned_grasp_policy,1,168,0.33929,0.56391,0.07143,0.32143,0.25000,0.24405,0.10875,0.04257
novel_category_same_semantics,language_conditioned_grasp_policy,2,168,0.31548,0.60417,0.03571,0.31548,0.21429,0.32738,0.10600,0.03088
novel_category_same_semantics,language_conditioned_grasp_policy,3,168,0.32738,0.60905,0.10119,0.33333,0.19643,0.31548,0.09665,0.04159
novel_category_same_semantics,language_conditioned_grasp_policy,4,168,0.32738,0.54812,0.08929,0.33929,0.25595,0.28571,0.10946,0.03808
novel_category_same_semantics,language_conditioned_grasp_policy,5,168,0.35119,0.60843,0.05952,0.24405,0.22619,0.33333,0.10476,0.02878
novel_category_same_semantics,language_conditioned_grasp_policy,6,168,0.36310,0.59654,0.10119,0.27381,0.23810,0.28571,0.10205,0.03624
novel_category_same_semantics,oracle_task_closure,0,168,0.34524,0.66846,0.21429,0.23810,0.19048,0.17857,0.30959,0.00000
novel_category_same_semantics,oracle_task_closure,1,168,0.39881,0.66298,0.16071,0.17857,0.16667,0.26786,0.32476,0.00000
novel_category_same_semantics,oracle_task_closure,2,168,0.36905,0.64101,0.16667,0.19643,0.20238,0.32738,0.34102,0.00000
novel_category_same_semantics,oracle_task_closure,3,168,0.38095,0.66690,0.14881,0.19048,0.20833,0.28571,0.32019,0.00000
novel_category_same_semantics,oracle_task_closure,4,168,0.34524,0.66432,0.21429,0.25000,0.16667,0.27976,0.31514,0.00000
novel_category_same_semantics,oracle_task_closure,5,168,0.32738,0.65481,0.14286,0.22024,0.17262,0.26190,0.33409,0.00000
novel_category_same_semantics,oracle_task_closure,6,168,0.36905,0.68573,0.19643,0.24405,0.15476,0.29762,0.33003,0.00000
novel_category_same_semantics,probabilistic_normals_pong,0,168,0.11905,0.93874,0.68452,0.44048,0.01786,0.30952,0.41667,0.18838
novel_category_same_semantics,probabilistic_normals_pong,1,168,0.10714,0.93226,0.63095,0.52976,0.02381,0.39286,0.39511,0.20031
novel_category_same_semantics,probabilistic_normals_pong,2,168,0.07738,0.94345,0.72024,0.58333,0.02381,0.33333,0.44517,0.21410
novel_category_same_semantics,probabilistic_normals_pong,3,168,0.10714,0.94093,0.70238,0.55952,0.01190,0.36310,0.41908,0.20606
novel_category_same_semantics,probabilistic_normals_pong,4,168,0.10714,0.94434,0.66071,0.56548,0.01786,0.29167,0.39847,0.19365
novel_category_same_semantics,probabilistic_normals_pong,5,168,0.10714,0.94624,0.68452,0.55357,0.01786,0.36905,0.41866,0.20280
novel_category_same_semantics,probabilistic_normals_pong,6,168,0.11310,0.94128,0.64286,0.54762,0.00595,0.34524,0.38355,0.19977
novel_category_same_semantics,risk_aware_force_closure,0,168,0.13690,0.90865,0.70833,0.44643,0.01786,0.22024,0.35733,0.16075
novel_category_same_semantics,risk_aware_force_closure,1,168,0.16667,0.90007,0.65476,0.44048,0.02381,0.20238,0.31744,0.15008
novel_category_same_semantics,risk_aware_force_closure,2,168,0.13095,0.90327,0.68452,0.52381,0.02381,0.17262,0.36609,0.17318
novel_category_same_semantics,risk_aware_force_closure,3,168,0.17262,0.89281,0.68452,0.45238,0.03571,0.20833,0.34033,0.16241
novel_category_same_semantics,risk_aware_force_closure,4,168,0.14286,0.87996,0.61905,0.39286,0.03571,0.18452,0.30708,0.13549
novel_category_same_semantics,risk_aware_force_closure,5,168,0.17262,0.89591,0.68452,0.41071,0.03571,0.13690,0.33515,0.14967
novel_category_same_semantics,risk_aware_force_closure,6,168,0.16667,0.89004,0.64881,0.44643,0.03571,0.16071,0.32583,0.16280
novel_category_same_semantics,semantic_force_closure_revisited,0,168,0.38690,0.67854,0.23810,0.29762,0.12500,0.22619,0.16515,0.02327
novel_category_same_semantics,semantic_force_closure_revisited,1,168,0.31548,0.68050,0.20833,0.22619,0.17262,0.28571,0.16608,0.02344
novel_category_same_semantics,semantic_force_closure_revisited,2,168,0.36310,0.69160,0.20833,0.31548,0.18452,0.27976,0.17620,0.02408
novel_category_same_semantics,semantic_force_closure_revisited,3,168,0.31548,0.68149,0.23214,0.25000,0.12500,0.25000,0.17492,0.02232
novel_category_same_semantics,semantic_force_closure_revisited,4,168,0.37500,0.68356,0.16667,0.28571,0.16071,0.20238,0.16289,0.02384
novel_category_same_semantics,semantic_force_closure_revisited,5,168,0.35119,0.67696,0.23214,0.27976,0.16071,0.21429,0.16337,0.02927
novel_category_same_semantics,semantic_force_closure_revisited,6,168,0.32143,0.68277,0.17262,0.22024,0.20833,0.20238,0.16146,0.01896
novel_category_same_semantics,taskgrasp_semantic_ranker,0,168,0.29762,0.54947,0.08929,0.23214,0.23214,0.33333,0.13358,0.03218
novel_category_same_semantics,taskgrasp_semantic_ranker,1,168,0.32143,0.54116,0.10119,0.24405,0.26786,0.25000,0.13044,0.03544
novel_category_same_semantics,taskgrasp_semantic_ranker,2,168,0.40476,0.58232,0.10119,0.27381,0.28571,0.30357,0.12839,0.02873
novel_category_same_semantics,taskgrasp_semantic_ranker,3,168,0.30952,0.57633,0.11310,0.25000,0.20238,0.29762,0.11545,0.03386
novel_category_same_semantics,taskgrasp_semantic_ranker,4,168,0.36905,0.53986,0.07143,0.22024,0.22619,0.32143,0.12821,0.03351
novel_category_same_semantics,taskgrasp_semantic_ranker,5,168,0.41071,0.55894,0.06548,0.27381,0.21429,0.32143,0.12609,0.03149
novel_category_same_semantics,taskgrasp_semantic_ranker,6,168,0.35119,0.55783,0.06548,0.21429,0.26786,0.25000,0.11921,0.03098
seen_categories_seen_tasks,affordance_only_vlm,0,168,0.36905,0.39039,0.05952,0.20833,0.36310,0.25595,0.04663,0.06920
seen_categories_seen_tasks,affordance_only_vlm,1,168,0.30952,0.44182,0.03571,0.30357,0.35119,0.27976,0.04910,0.05989
seen_categories_seen_tasks,affordance_only_vlm,2,168,0.29167,0.43113,0.08333,0.27976,0.32143,0.25595,0.05257,0.07463
seen_categories_seen_tasks,affordance_only_vlm,3,168,0.35714,0.42625,0.05357,0.29167,0.27381,0.24405,0.04562,0.07022
seen_categories_seen_tasks,affordance_only_vlm,4,168,0.31548,0.41832,0.11310,0.26190,0.30357,0.25595,0.04949,0.07005
seen_categories_seen_tasks,affordance_only_vlm,5,168,0.26786,0.42966,0.04762,0.21429,0.34524,0.23214,0.04962,0.07111
seen_categories_seen_tasks,affordance_only_vlm,6,168,0.26786,0.44384,0.05952,0.25595,0.28571,0.25595,0.04944,0.06788
seen_categories_seen_tasks,geometry_force_closure,0,168,0.09524,0.96096,0.73810,0.53571,0.00595,0.23810,0.58810,0.23654
seen_categories_seen_tasks,geometry_force_closure,1,168,0.10119,0.96250,0.75000,0.54762,0.01190,0.29762,0.58866,0.22005
seen_categories_seen_tasks,geometry_force_closure,2,168,0.06548,0.95727,0.73214,0.58333,0.00595,0.32143,0.59620,0.23342
seen_categories_seen_tasks,geometry_force_closure,3,168,0.06548,0.95746,0.78571,0.54167,0.01190,0.35714,0.56281,0.22326
seen_categories_seen_tasks,geometry_force_closure,4,168,0.10714,0.95990,0.72024,0.53571,0.00595,0.29762,0.58990,0.21995
seen_categories_seen_tasks,geometry_force_closure,5,168,0.11905,0.95758,0.74405,0.51786,0.00000,0.25000,0.57804,0.21684
seen_categories_seen_tasks,geometry_force_closure,6,168,0.13095,0.94943,0.72619,0.55952,0.00595,0.25595,0.53940,0.21600
seen_categories_seen_tasks,language_conditioned_grasp_policy,0,168,0.39881,0.59380,0.06548,0.30357,0.20238,0.24405,0.09175,0.02682
seen_categories_seen_tasks,language_conditioned_grasp_policy,1,168,0.42262,0.62100,0.05357,0.30357,0.18452,0.23214,0.09783,0.02919
seen_categories_seen_tasks,language_conditioned_grasp_policy,2,168,0.39881,0.63724,0.07143,0.30357,0.17857,0.29762,0.09279,0.02938
seen_categories_seen_tasks,language_conditioned_grasp_policy,3,168,0.35714,0.60707,0.13095,0.35119,0.19048,0.25000,0.09232,0.03219
seen_categories_seen_tasks,language_conditioned_grasp_policy,4,168,0.36905,0.60857,0.10714,0.32143,0.16071,0.34524,0.10101,0.02638
seen_categories_seen_tasks,language_conditioned_grasp_policy,5,168,0.38095,0.59194,0.09524,0.29762,0.23214,0.32143,0.10069,0.02839
seen_categories_seen_tasks,language_conditioned_grasp_policy,6,168,0.36905,0.64621,0.07738,0.36310,0.11310,0.27976,0.09200,0.02299
seen_categories_seen_tasks,oracle_task_closure,0,168,0.37500,0.67690,0.16667,0.22024,0.11310,0.28571,0.30319,0.00000
seen_categories_seen_tasks,oracle_task_closure,1,168,0.38095,0.69421,0.22024,0.22024,0.14286,0.23214,0.29553,0.00000
seen_categories_seen_tasks,oracle_task_closure,2,168,0.39286,0.69323,0.19048,0.22024,0.12500,0.23810,0.30661,0.00000
seen_categories_seen_tasks,oracle_task_closure,3,168,0.39881,0.68311,0.16667,0.19643,0.16071,0.27381,0.30309,0.00000
seen_categories_seen_tasks,oracle_task_closure,4,168,0.42262,0.67377,0.22619,0.21429,0.11310,0.27976,0.30806,0.00000
seen_categories_seen_tasks,oracle_task_closure,5,168,0.43452,0.67481,0.14286,0.24405,0.13690,0.28571,0.31878,0.00000
seen_categories_seen_tasks,oracle_task_closure,6,168,0.35714,0.69477,0.17857,0.18452,0.08929,0.29762,0.30192,0.00000
seen_categories_seen_tasks,probabilistic_normals_pong,0,168,0.11310,0.94904,0.66667,0.56548,0.00595,0.27381,0.41866,0.20707
seen_categories_seen_tasks,probabilistic_normals_pong,1,168,0.13095,0.95207,0.64881,0.54167,0.00595,0.35119,0.42423,0.19605
seen_categories_seen_tasks,probabilistic_normals_pong,2,168,0.09524,0.94740,0.67262,0.54762,0.00595,0.32738,0.42438,0.19333
seen_categories_seen_tasks,probabilistic_normals_pong,3,168,0.12500,0.94488,0.65476,0.52976,0.01190,0.30952,0.41073,0.20306
seen_categories_seen_tasks,probabilistic_normals_pong,4,168,0.07143,0.94642,0.69643,0.57143,0.00595,0.38095,0.41341,0.19279
seen_categories_seen_tasks,probabilistic_normals_pong,5,168,0.12500,0.94358,0.67262,0.48214,0.01190,0.36905,0.40800,0.18611
seen_categories_seen_tasks,probabilistic_normals_pong,6,168,0.11310,0.93735,0.63095,0.45833,0.00595,0.32738,0.39068,0.18976
seen_categories_seen_tasks,risk_aware_force_closure,0,168,0.16667,0.89784,0.58333,0.39881,0.03571,0.16667,0.30069,0.14173
seen_categories_seen_tasks,risk_aware_force_closure,1,168,0.14286,0.90363,0.67262,0.39881,0.01786,0.13095,0.33908,0.15670
seen_categories_seen_tasks,risk_aware_force_closure,2,168,0.24405,0.89365,0.63095,0.36905,0.03571,0.16667,0.32130,0.14270
seen_categories_seen_tasks,risk_aware_force_closure,3,168,0.23810,0.88616,0.54762,0.39286,0.01190,0.21429,0.28718,0.12307
seen_categories_seen_tasks,risk_aware_force_closure,4,168,0.22619,0.89794,0.67857,0.48214,0.02381,0.17857,0.33882,0.14788
seen_categories_seen_tasks,risk_aware_force_closure,5,168,0.25000,0.89818,0.61310,0.42857,0.01190,0.20238,0.31778,0.13656
