ablation,task_success,ci95_success,semantic_violation,functional_blockage,damage_rate,oracle_regret
full_semantic_force_closure,0.25595,0.02584,0.28571,0.30612,0.29422,0.06928
minus_task_intent_conditioning,0.19813,0.01683,0.33503,0.36224,0.32483,0.08725
minus_forbidden_surface_semantics,0.19898,0.01546,0.42942,0.32738,0.27891,0.10032
minus_functional_access_constraint,0.19218,0.02786,0.37585,0.42772,0.29252,0.09873
minus_material_deformation_risk,0.20493,0.02569,0.35204,0.33163,0.42347,0.08838
geometry_only_closure_score,0.06718,0.02171,0.72364,0.55952,0.37330,0.22060
language_only_semantic_score,0.20238,0.02429,0.15136,0.35884,0.30527,0.10452
