split,task,seed,episode,method,candidate,task_success,mechanical_closure_margin,semantic_violation,functional_blockage,slip_rate,damage_rate,semantic_calibration_error,oracle_regret
combined_hard_shift,mug_pour_handoff,0,0,full_semantic_force_closure,8,0.00000,0.27945,0.00000,0.00000,1.00000,0.00000,0.18145,0.00345
combined_hard_shift,mug_pour_handoff,0,0,minus_task_intent_conditioning,8,0.00000,0.27945,1.00000,0.00000,0.00000,0.00000,0.35938,0.00345
combined_hard_shift,mug_pour_handoff,0,0,minus_forbidden_surface_semantics,8,0.00000,0.27945,0.00000,0.00000,1.00000,0.00000,0.31200,0.00345
combined_hard_shift,mug_pour_handoff,0,0,minus_functional_access_constraint,15,0.00000,0.62399,1.00000,0.00000,0.00000,0.00000,0.25114,0.12316
combined_hard_shift,mug_pour_handoff,0,0,minus_material_deformation_risk,8,1.00000,0.27945,0.00000,0.00000,1.00000,0.00000,0.19665,0.00345
combined_hard_shift,mug_pour_handoff,0,0,geometry_only_closure_score,11,0.00000,0.76589,0.00000,1.00000,0.00000,0.00000,0.37473,0.24451
combined_hard_shift,mug_pour_handoff,0,0,language_only_semantic_score,0,0.00000,0.45267,0.00000,1.00000,0.00000,0.00000,0.02296,0.07613
combined_hard_shift,mug_pour_handoff,0,1,full_semantic_force_closure,3,1.00000,0.98436,0.00000,0.00000,0.00000,0.00000,0.06897,0.07800
combined_hard_shift,mug_pour_handoff,0,1,minus_task_intent_conditioning,4,0.00000,0.73554,1.00000,0.00000,1.00000,0.00000,0.16991,0.10127
combined_hard_shift,mug_pour_handoff,0,1,minus_forbidden_surface_semantics,3,0.00000,0.98436,1.00000,0.00000,0.00000,0.00000,0.01285,0.07800
combined_hard_shift,mug_pour_handoff,0,1,minus_functional_access_constraint,4,0.00000,0.73554,1.00000,0.00000,0.00000,0.00000,0.17022,0.10127
combined_hard_shift,mug_pour_handoff,0,1,minus_material_deformation_risk,4,0.00000,0.73554,0.00000,0.00000,1.00000,1.00000,0.01083,0.10127
combined_hard_shift,mug_pour_handoff,0,1,geometry_only_closure_score,2,0.00000,0.97774,1.00000,1.00000,0.00000,0.00000,0.67108,0.45077
combined_hard_shift,mug_pour_handoff,0,1,language_only_semantic_score,8,0.00000,0.63876,0.00000,0.00000,0.00000,0.00000,0.14788,0.04327
combined_hard_shift,mug_pour_handoff,0,2,full_semantic_force_closure,12,1.00000,0.70532,1.00000,0.00000,0.00000,0.00000,0.12840,0.05330
combined_hard_shift,mug_pour_handoff,0,2,minus_task_intent_conditioning,0,0.00000,1.00000,0.00000,1.00000,0.00000,1.00000,0.42181,0.00899
combined_hard_shift,mug_pour_handoff,0,2,minus_forbidden_surface_semantics,12,1.00000,0.70532,1.00000,0.00000,0.00000,0.00000,0.04318,0.05330
combined_hard_shift,mug_pour_handoff,0,2,minus_functional_access_constraint,0,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,0.40592,0.00899
combined_hard_shift,mug_pour_handoff,0,2,minus_material_deformation_risk,3,1.00000,0.89512,0.00000,0.00000,1.00000,0.00000,0.14948,0.00013
combined_hard_shift,mug_pour_handoff,0,2,geometry_only_closure_score,3,0.00000,0.89512,1.00000,1.00000,0.00000,0.00000,0.07000,0.00013
combined_hard_shift,mug_pour_handoff,0,2,language_only_semantic_score,0,1.00000,1.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00899
combined_hard_shift,mug_pour_handoff,0,3,full_semantic_force_closure,3,1.00000,0.47743,0.00000,0.00000,1.00000,1.00000,0.21873,0.00000
combined_hard_shift,mug_pour_handoff,0,3,minus_task_intent_conditioning,3,1.00000,0.47743,0.00000,0.00000,0.00000,0.00000,0.36460,0.00000
combined_hard_shift,mug_pour_handoff,0,3,minus_forbidden_surface_semantics,14,0.00000,0.96645,1.00000,0.00000,0.00000,1.00000,0.55551,0.29024
combined_hard_shift,mug_pour_handoff,0,3,minus_functional_access_constraint,3,0.00000,0.47743,0.00000,0.00000,1.00000,0.00000,0.38027,0.00000
combined_hard_shift,mug_pour_handoff,0,3,minus_material_deformation_risk,3,1.00000,0.47743,0.00000,0.00000,1.00000,0.00000,0.22826,0.00000
combined_hard_shift,mug_pour_handoff,0,3,geometry_only_closure_score,14,0.00000,0.96645,1.00000,0.00000,0.00000,1.00000,0.64766,0.29024
combined_hard_shift,mug_pour_handoff,0,3,language_only_semantic_score,3,0.00000,0.47743,0.00000,0.00000,0.00000,0.00000,0.12803,0.00000
combined_hard_shift,mug_pour_handoff,0,4,full_semantic_force_closure,8,1.00000,0.99954,0.00000,1.00000,0.00000,1.00000,0.17140,0.15310
combined_hard_shift,mug_pour_handoff,0,4,minus_task_intent_conditioning,8,0.00000,0.99954,0.00000,1.00000,0.00000,0.00000,0.04842,0.15310
combined_hard_shift,mug_pour_handoff,0,4,minus_forbidden_surface_semantics,8,0.00000,0.99954,1.00000,1.00000,0.00000,0.00000,0.13251,0.15310
combined_hard_shift,mug_pour_handoff,0,4,minus_functional_access_constraint,8,0.00000,0.99954,1.00000,1.00000,0.00000,1.00000,0.03516,0.15310
