split,method,seed,rows,task_success,mechanical_closure_margin,semantic_violation,functional_blockage,slip_rate,damage_rate,semantic_calibration_error,oracle_regret
combined_hard_shift,language_only_semantic_score,6,168,0.15476,0.45247,0.14286,0.38690,0.40476,0.34524,0.09946,0.10435
combined_hard_shift,minus_forbidden_surface_semantics,0,168,0.18452,0.72988,0.46429,0.33929,0.19643,0.25595,0.25435,0.09660
combined_hard_shift,minus_forbidden_surface_semantics,1,168,0.18452,0.74907,0.39881,0.33929,0.22619,0.26190,0.22817,0.10457
combined_hard_shift,minus_forbidden_surface_semantics,2,168,0.20833,0.76738,0.42262,0.31548,0.16071,0.34524,0.24059,0.10083
combined_hard_shift,minus_forbidden_surface_semantics,3,168,0.17857,0.75287,0.44048,0.33929,0.20238,0.30357,0.24017,0.10636
combined_hard_shift,minus_forbidden_surface_semantics,4,168,0.22619,0.74788,0.39881,0.30952,0.16667,0.29167,0.22593,0.09948
combined_hard_shift,minus_forbidden_surface_semantics,5,168,0.18452,0.72619,0.43452,0.36310,0.19048,0.25595,0.22687,0.09996
combined_hard_shift,minus_forbidden_surface_semantics,6,168,0.22619,0.73967,0.44643,0.28571,0.19643,0.23810,0.25382,0.09446
combined_hard_shift,minus_functional_access_constraint,0,168,0.23810,0.74568,0.33929,0.48214,0.25000,0.30357,0.23895,0.09973
combined_hard_shift,minus_functional_access_constraint,1,168,0.19643,0.74712,0.37500,0.40476,0.15476,0.27381,0.19928,0.10363
combined_hard_shift,minus_functional_access_constraint,2,168,0.14286,0.76517,0.36310,0.45833,0.17262,0.28571,0.24573,0.09538
combined_hard_shift,minus_functional_access_constraint,3,168,0.17857,0.78337,0.47619,0.44048,0.17857,0.32738,0.25006,0.09923
combined_hard_shift,minus_functional_access_constraint,4,168,0.20833,0.76872,0.30357,0.38095,0.14881,0.27381,0.23805,0.10009
combined_hard_shift,minus_functional_access_constraint,5,168,0.14881,0.72690,0.39881,0.36905,0.20238,0.30357,0.20714,0.09485
combined_hard_shift,minus_functional_access_constraint,6,168,0.23214,0.74537,0.37500,0.45833,0.19643,0.27976,0.24364,0.09817
combined_hard_shift,minus_material_deformation_risk,0,168,0.22024,0.73878,0.36310,0.30952,0.19048,0.35119,0.20505,0.08115
combined_hard_shift,minus_material_deformation_risk,1,168,0.22619,0.76659,0.33333,0.35714,0.20833,0.46429,0.18035,0.08631
combined_hard_shift,minus_material_deformation_risk,2,168,0.14881,0.76160,0.35714,0.34524,0.16667,0.41667,0.21329,0.09584
combined_hard_shift,minus_material_deformation_risk,3,168,0.22024,0.75989,0.35714,0.29167,0.17857,0.49405,0.21585,0.09811
combined_hard_shift,minus_material_deformation_risk,4,168,0.23214,0.76857,0.35714,0.38095,0.15476,0.45833,0.19003,0.09305
combined_hard_shift,minus_material_deformation_risk,5,168,0.16071,0.73422,0.38095,0.31548,0.17857,0.34524,0.18648,0.08850
combined_hard_shift,minus_material_deformation_risk,6,168,0.22619,0.75175,0.31548,0.32143,0.15476,0.43452,0.19644,0.07573
combined_hard_shift,minus_task_intent_conditioning,0,168,0.22619,0.70191,0.35119,0.35714,0.19048,0.29167,0.24316,0.08386
combined_hard_shift,minus_task_intent_conditioning,1,168,0.16071,0.72826,0.30357,0.37500,0.20238,0.32738,0.20914,0.09274
combined_hard_shift,minus_task_intent_conditioning,2,168,0.17857,0.76284,0.30357,0.36905,0.19643,0.29167,0.23963,0.09065
combined_hard_shift,minus_task_intent_conditioning,3,168,0.20238,0.74726,0.36310,0.39881,0.16667,0.39881,0.23419,0.08598
combined_hard_shift,minus_task_intent_conditioning,4,168,0.22024,0.75650,0.32738,0.33333,0.22619,0.33929,0.23506,0.09201
combined_hard_shift,minus_task_intent_conditioning,5,168,0.19643,0.71967,0.30357,0.35119,0.23214,0.30357,0.20948,0.08609
combined_hard_shift,minus_task_intent_conditioning,6,168,0.20238,0.73014,0.39286,0.35119,0.23810,0.32143,0.24734,0.07943
