split,method,seed,rows,task_success,mechanical_closure_margin,semantic_violation,functional_blockage,slip_rate,damage_rate,semantic_calibration_error,oracle_regret
combined_hard_shift,full_semantic_force_closure,0,168,0.23214,0.65174,0.33929,0.30952,0.25595,0.33929,0.20219,0.07368
combined_hard_shift,full_semantic_force_closure,1,168,0.22024,0.65996,0.30357,0.29167,0.20833,0.29167,0.17448,0.06746
combined_hard_shift,full_semantic_force_closure,2,168,0.22619,0.67174,0.28571,0.31548,0.17262,0.29167,0.19208,0.07179
combined_hard_shift,full_semantic_force_closure,3,168,0.25595,0.66895,0.33333,0.31548,0.27381,0.31548,0.20682,0.07358
combined_hard_shift,full_semantic_force_closure,4,168,0.25000,0.65827,0.24405,0.29762,0.27381,0.25000,0.20048,0.07129
combined_hard_shift,full_semantic_force_closure,5,168,0.30357,0.65887,0.28571,0.32143,0.21429,0.26786,0.18726,0.06347
combined_hard_shift,full_semantic_force_closure,6,168,0.30357,0.66984,0.20833,0.29167,0.18452,0.30357,0.20022,0.06366
combined_hard_shift,geometry_only_closure_score,0,168,0.07738,0.89624,0.73214,0.59524,0.10714,0.37500,0.40311,0.21311
combined_hard_shift,geometry_only_closure_score,1,168,0.07143,0.90788,0.69048,0.55952,0.07738,0.39881,0.38000,0.21014
combined_hard_shift,geometry_only_closure_score,2,168,0.07143,0.90553,0.72024,0.51190,0.07738,0.41667,0.42325,0.21603
combined_hard_shift,geometry_only_closure_score,3,168,0.05952,0.89946,0.70238,0.58929,0.10714,0.39286,0.39725,0.22134
combined_hard_shift,geometry_only_closure_score,4,168,0.11905,0.89399,0.72024,0.52976,0.07143,0.33333,0.39757,0.21228
combined_hard_shift,geometry_only_closure_score,5,168,0.04762,0.89111,0.71429,0.55952,0.08333,0.33929,0.40923,0.22181
combined_hard_shift,geometry_only_closure_score,6,168,0.02381,0.90109,0.78571,0.57143,0.08929,0.35714,0.43222,0.24947
combined_hard_shift,language_only_semantic_score,0,168,0.19643,0.46892,0.18452,0.30357,0.37500,0.27381,0.12129,0.09677
combined_hard_shift,language_only_semantic_score,1,168,0.23810,0.45526,0.13690,0.34524,0.35714,0.29762,0.09980,0.09658
combined_hard_shift,language_only_semantic_score,2,168,0.20238,0.47892,0.16667,0.38095,0.36905,0.32738,0.10127,0.09534
combined_hard_shift,language_only_semantic_score,3,168,0.22024,0.46922,0.11310,0.39286,0.27976,0.33929,0.09903,0.10708
combined_hard_shift,language_only_semantic_score,4,168,0.23810,0.47780,0.14286,0.36905,0.36905,0.27381,0.09957,0.11580
combined_hard_shift,language_only_semantic_score,5,168,0.16667,0.43958,0.17262,0.33333,0.38095,0.27976,0.11296,0.11574
